,Unnamed: 0,index,Unnamed: 0.1,Unnamed: 0.1.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,960,960,960,3,433.0008532423208,455.2167235494881,1172,961,1,False,1,0.0,0.0,0.0,0.0
1,1,961,961,961,3,433.2359750667854,455.6215494211932,1123,962,1,False,1,0.23512182446461338,0.40482587170509987,-0.44676858742360837,0.13987168417115772
2,2,962,962,962,3,433.2203389830509,456.03050847457627,1180,963,1,False,1,0.2194857407301356,0.8137849250881573,-0.8421671686245643,0.03426886014268282
3,3,963,963,963,3,433.0470487596237,455.9110350727117,1169,964,1,False,1,0.0461955173029196,0.6943115232235755,-0.6873603397861536,-0.10834334492247044
4,4,964,964,964,3,433.27086882453153,455.4088586030665,1174,965,1,False,1,0.2700155822107604,0.19213505357839722,-0.24704287475972492,0.22089389190432662
5,5,965,965,965,3,433.1863468634687,455.80073800738006,1084,966,1,False,1,0.1854936211479412,0.5840144578919535,-0.6105646068479078,0.05188093462986254
6,6,966,966,966,3,433.34165232358,455.83476764199656,1162,967,1,False,1,0.3407990812592061,0.6180440925084554,-0.6780656446471183,0.19583027248361534
7,7,967,967,967,3,433.392382639504,455.7590788308237,1129,968,1,False,1,0.3915293971832057,0.5423552813355741,-0.6154552774755945,0.26202923783172216
8,8,968,968,968,3,433.15784586815226,455.4233983286908,1077,969,1,False,1,0.1569926258314922,0.20667477920267174,-0.23625264376570226,0.10745155763252678
9,9,969,969,969,3,433.29888027562447,455.5383290267011,1161,970,1,False,1,0.29802703330369695,0.3216054772129837,-0.37950260522346935,0.21960867055240202
10,10,970,970,970,3,433.05012964563525,455.3076923076923,1157,971,1,False,1,0.04927640331447947,0.09096875820421246,-0.09960765224860448,0.02796058844782768
11,11,971,971,971,3,432.9783737024221,455.7915224913495,1156,972,1,False,1,-0.022479539898654366,0.5747989418613884,-0.5556283900606462,-0.14891690782997513
