,Unnamed: 0,index,Unnamed: 0.1,Unnamed: 0.1.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,1008,1008,1008,3,433.3654008438818,455.90717299578057,1185,1009,1,False,1,0.0,0.0,0.0,0.0
1,1,1009,1009,1009,3,433.1365719523373,455.65352887259394,1091,1010,1,False,1,-0.22882889154448094,-0.253644123186632,-0.32600742745539624,0.10206448979202175
2,2,1010,1010,1010,3,433.3945578231293,455.42261904761904,1176,1011,1,False,1,0.029156979247488835,-0.4845539481615333,-0.4281505676193842,-0.2287569661561534
3,3,1011,1011,1011,3,433.3385608856088,455.4963099630996,1084,1012,1,False,1,-0.02683995827300123,-0.410863032680993,-0.3845606971792872,-0.14711181179259453
4,4,1012,1012,1012,3,433.0217770034843,455.1559233449477,1148,1013,1,False,1,-0.34362384039746985,-0.7512496508328468,-0.82610629746364,-0.0013292316938882665
5,5,1013,1013,1013,3,433.0813758389262,455.5729865771812,1192,1014,1,False,1,-0.2840250049555948,-0.3341864185993586,-0.42223724006866287,0.11860218765052247
6,6,1014,1014,1014,3,433.4110060189166,455.3508168529665,1163,1015,1,False,1,0.04560517503483652,-0.5563561428140815,-0.4865324911592907,-0.27367521751750823
7,7,1015,1015,1015,3,433.29616724738673,455.5879790940767,1148,1016,1,False,1,-0.06923359649505301,-0.3191939017038976,-0.31895549734876816,-0.07032374051198645
8,8,1016,1016,1016,3,433.0872881355932,455.5101694915254,1180,1017,1,False,1,-0.2781127082885746,-0.39700350425516717,-0.47685213954403605,0.08700860827966087
9,9,1017,1017,1017,3,433.20808254514185,455.8030954428203,1163,1018,1,False,1,-0.15731829873993775,-0.10407755296029109,-0.1602442933751469,0.09951356987532076
10,10,1018,1018,1018,3,433.3168232280103,455.3142613151153,1171,1019,1,False,1,-0.048577615871465696,-0.5929116806652814,-0.5590646429239788,-0.2033488895110283
11,11,1019,1019,1019,3,433.1646734130635,454.9540018399264,1087,1020,1,False,1,-0.20072743081829003,-0.9531711558541929,-0.9499477555771294,-0.21546697080829813
