,Unnamed: 0,index,Unnamed: 0.1,Unnamed: 0.1.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,1200,1200,1200,3,433.57603686635946,454.9059907834101,1085,1201,1,False,1,0.0,0.0,0.0,0.0
1,1,1201,1201,1201,3,433.5426160337553,455.4523206751055,1185,1202,1,False,1,-0.03342083260417894,0.5463298916953931,-0.5223502816408944,0.1635343568842184
2,2,1202,1202,1202,3,433.80795847750863,455.2223183391004,1156,1203,1,False,1,0.23192161114917553,0.31632755569029314,-0.21286791937884114,0.32945106633056764
3,3,1203,1203,1203,3,433.62063086104007,455.0622335890878,1173,1204,1,False,1,0.04459399468061065,0.1562428056776639,-0.13008052821950994,0.09736269750646731
4,4,1204,1204,1204,3,433.8370307167236,455.1817406143344,1172,1205,1,False,1,0.26099385036411604,0.2757498309242692,-0.16459226561414156,0.3421478412655171
5,5,1205,1205,1205,3,433.65160729800175,455.254561251086,1151,1206,1,False,1,0.07557043164229071,0.3485704676758701,-0.2987296302247223,0.19486628518083263
6,6,1206,1206,1206,3,433.8854515050167,455.2876254180602,1196,1207,1,False,1,0.3094146386572447,0.3816346346500836,-0.2462590947014403,0.42513394507698765
7,7,1207,1207,1207,3,433.8859574468085,455.2110638297872,1175,1208,1,False,1,0.30992058044904525,0.30507304637706056,-0.17454721667350387,0.39831344311130923
8,8,1208,1208,1208,3,433.69879518072287,454.9974182444062,1162,1209,1,False,1,0.12275831436340923,0.09142746099610122,-0.0416589746566735,0.14728582484439515
9,9,1209,1209,1209,3,433.8696397941681,455.3147512864494,1166,1210,1,False,1,0.2936029278086494,0.40876050303927514,-0.27723947005349114,0.4200310754065604
10,10,1210,1210,1210,3,433.60833333333335,455.12416666666667,1200,1211,1,False,1,0.03229646697388944,0.21817588325654924,-0.19232852998041342,0.1079514444986456
11,11,1211,1211,1211,3,433.99666388657215,455.2301918265221,1199,1212,1,False,1,0.4206270202126916,0.32420104311199793,-0.1529531142116858,0.5085653855118952
