,id,x,y,size,frame,track,ignore,track_fixed
0,2,307.07088122605364,400.9396551724138,1044,1,2,False,2
1,2,324.56859867938374,395.15920763022746,1363,2,2,False,2
2,2,330.9141016463851,381.17036506800287,1397,3,2,False,2
3,2,323.685461580984,371.9939192924268,1809,4,2,False,2
4,2,313.23375870069606,370.2146171693735,1724,5,2,False,2
5,2,302.6590273896031,378.7719396310788,1789,6,2,False,2
6,6,299.7058513442277,385.777016341592,1897,7,2,False,2
7,2,301.15292190060075,395.7351174221737,1831,8,2,False,2
8,6,303.3363205060622,398.309963099631,1897,9,2,False,2
9,2,312.631221719457,401.1726998491704,1326,10,2,False,2
10,2,325.24051490514904,388.4363143631437,1476,11,2,False,2
11,2,324.18336886993603,373.6958066808813,1407,12,2,False,2
12,2,316.6443618339529,371.1561338289963,1614,13,2,False,2
13,2,305.3223140495868,376.4771349862259,1815,14,2,False,2
14,6,301.62814339218835,380.7281968967362,1869,15,2,False,2
15,2,298.8694232861806,389.8911860718172,1838,16,2,False,2
16,6,303.8555844155844,398.1527272727273,1925,17,2,False,2
17,2,309.36074476338246,403.51280062063614,1289,18,2,False,2
18,2,324.53283018867927,398.0037735849057,1325,19,2,False,2
19,2,330.72323379461034,382.6584122359796,1373,20,2,False,2
20,3,325.8538961038961,370.5641233766234,1232,21,2,False,2
21,2,313.1753494282084,373.7515883100381,1574,22,28,False,2
22,3,304.91006423982867,371.62312633832977,1401,23,28,False,2
23,2,302.64162194394754,383.7608825283244,1677,24,28,False,2
24,2,302.9436701509872,394.4349593495935,1722,25,28,False,2
25,2,313.1432291666667,402.5891927083333,1536,26,28,False,2
26,2,326.5527272727273,402.8363636363636,1375,27,28,False,2
27,2,332.68989547038325,390.8787456445993,1435,28,28,False,2
28,2,331.6001255492781,379.1324544883867,1593,29,28,False,2
29,2,331.67474589523067,380.28146989835807,1279,30,28,False,2
30,2,321.8007326007326,376.4981684981685,1365,31,28,False,2
31,2,312.1409507923269,380.5229357798165,1199,32,28,False,2
32,2,309.13269794721407,394.1935483870968,1364,33,28,False,2
33,2,316.398128149748,406.0554355651548,1389,34,28,False,2
34,6,327.4065934065934,403.45996860282577,1911,35,28,False,2
35,6,335.5813460519343,397.8198198198198,1887,36,28,False,2
36,6,338.7723029045643,389.2634854771785,1928,37,28,False,2
37,2,337.6066869300912,385.06990881458967,1645,38,28,False,2
38,2,333.7033465683494,378.35677821894495,1763,39,28,False,2
39,2,329.14491708723864,372.2487382840664,1387,40,28,False,2
40,2,325.1919014084507,379.3846830985916,1136,41,28,False,2
41,2,324.02170542635656,396.4449612403101,1290,42,28,False,2
42,2,328.37786933490287,400.802825191289,1699,43,28,False,2
43,6,337.0654018971543,399.572141787319,2003,44,28,False,2
44,6,344.68981921979065,393.3853472882969,2102,45,28,False,2
