,id,x,y,size,frame,track
0,1,905.4367816091952,378.8850574712644,435,1,1
1,1,891.9204545454545,376.9974747474748,792,2,1
2,1,869.9760479041917,377.35808383233535,835,3,1
3,1,847.7222898903776,378.0255785627284,821,4,1
4,1,825.3881334981459,379.51297898640297,809,5,1
5,1,803.793875147232,381.1648998822144,849,6,1
6,1,781.6947236180905,384.5489949748744,796,7,1
7,1,760.1418355184744,387.5363528009535,839,8,1
8,1,738.4283950617285,391.1493827160494,810,9,1
9,1,716.0971709717097,396.7515375153752,813,10,1
10,1,693.564039408867,403.80541871921184,812,11,1
11,1,672.0330073349634,410.2555012224939,818,12,1
12,1,650.2129742962056,417.20685434516525,817,13,1
13,1,630.7616136919315,422.2286063569682,818,14,1
14,1,610.5634146341464,427.5012195121951,820,15,1
15,1,591.1812725090036,433.2244897959184,833,16,1
16,1,571.0373944511459,440.5259348612786,829,17,1
17,1,551.0107142857142,447.627380952381,840,18,1
18,1,532.239336492891,454.8056872037915,844,19,1
19,1,512.8595641646489,462.8510895883777,826,20,1
20,1,492.12132352941177,471.6446078431373,816,21,1
21,1,473.95443349753697,480.97536945812806,812,22,1
22,1,456.7721212121212,490.4436363636364,825,23,1
23,1,439.9108796296296,500.1134259259259,864,24,1
24,1,425.2541567695962,508.8004750593825,842,25,1
25,1,407.77911164465786,518.4573829531813,833,26,1
26,1,389.69350961538464,528.7175480769231,832,27,1
27,1,373.768765133172,539.4467312348668,826,28,1
28,1,358.56391875746715,550.4659498207885,837,29,1
29,1,342.30023923444975,561.811004784689,836,30,1
30,1,326.7197149643705,574.0344418052257,842,31,1
31,1,311.80649038461536,587.0949519230769,832,32,1
32,1,297.28743961352654,600.2198067632851,828,33,1
33,1,283.33610451306413,613.8372921615202,842,34,1
34,1,270.2515114873035,627.7883917775091,827,35,1
35,1,258.60705596107056,643.6703163017031,822,36,1
36,1,247.5715990453461,660.4009546539379,838,37,1
37,1,238.6517647058824,676.6635294117647,850,38,1
38,1,230.29514321295144,693.7845579078456,803,39,1
39,1,223.6089588377724,710.4842615012107,826,40,1
40,1,219.37278911564627,724.7319727891156,735,41,1
41,1,218.17757009345797,732.2102803738318,214,42,1
