,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,0,0,1,417.14814814814815,739.175925925926,108,1,1,False,1
1,1,1,1,417.3970588235294,734.2022058823529,272,2,1,False,1
2,2,2,1,418.5621890547264,723.9850746268656,201,3,1,False,1
3,3,3,1,420.2,714.2,155,4,1,False,1
4,4,4,1,420.9333333333333,704.0666666666667,135,5,1,False,1
5,5,5,1,422.73015873015873,693.6111111111111,126,6,1,False,1
6,6,6,1,423.6031746031746,683.7936507936508,126,7,1,False,1
7,7,7,1,423.61290322580646,674.1209677419355,124,8,1,False,1
8,8,8,1,422.0245901639344,663.9426229508197,122,9,1,False,1
9,9,9,1,418.8347107438017,653.396694214876,121,10,1,False,1
10,10,10,1,418.2960893854749,642.1005586592179,179,11,1,False,1
11,11,11,1,416.9032258064516,632.3502304147465,217,12,1,False,1
