,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,24,24,1,336.21008403361344,508.0924369747899,238,25,1,False,1
1,25,25,1,322.2093023255814,503.99612403100775,258,26,1,False,1
2,26,26,1,308.45098039215685,499.7529411764706,255,27,1,False,1
3,27,27,1,295.37254901960785,495.9333333333333,255,28,1,False,1
4,28,28,1,281.3955555555556,492.80444444444447,225,29,1,False,1
5,29,29,1,267.22549019607845,490.0751633986928,306,30,1,False,1
6,30,30,1,260.95283018867923,489.8459119496856,318,31,1,False,1
7,31,31,1,258.9936102236422,490.3130990415335,313,32,1,False,1
8,32,32,1,253.5304659498208,483.6881720430108,279,33,1,False,1
9,33,33,1,248.13306451612905,475.6532258064516,248,34,1,False,1
10,34,34,1,242.4203539823009,464.070796460177,226,35,1,False,1
11,35,35,1,238.6733870967742,453.108870967742,248,36,1,False,1
