,index,Unnamed: 0,id,x,y,size,frame,track
0,48,48,1,473.1666666666667,471.8333333333333,6,57,1
1,49,49,1,464.5,481.0,2,58,1
2,50,50,1,454.75,489.95,20,59,1
3,51,51,1,446.35849056603774,497.35849056603774,53,60,1
4,52,52,1,437.4337349397591,505.68674698795184,83,61,1
5,53,53,1,427.8732394366197,514.4647887323944,71,62,1
6,54,54,1,418.3958333333333,523.125,48,63,1
7,55,55,1,410.7843137254902,531.6078431372549,51,64,1
8,56,56,1,402.4193548387097,540.9032258064516,62,65,1
9,57,57,1,394.1929824561403,548.8771929824561,57,66,1
10,58,58,1,385.0483870967742,557.258064516129,62,67,1
11,59,59,1,374.78688524590166,566.2131147540983,61,68,1
