,index,Unnamed: 0,id,x,y,size,frame,track
0,24,24,1,674.6949152542373,197.864406779661,59,29,1
1,25,25,1,667.3965517241379,207.1206896551724,58,30,1
2,26,26,1,660.4307692307692,216.01538461538465,65,31,1
3,27,27,1,652.6857142857143,225.1714285714285,35,32,1
4,28,28,1,645.2592592592592,235.4814814814815,27,33,1
5,29,29,1,638.9090909090909,245.0909090909091,22,34,1
6,30,30,1,632.7,255.15,20,35,1
7,31,31,1,626.3030303030303,265.09090909090907,33,36,1
8,32,32,1,619.59375,275.4375,32,37,1
9,33,33,1,612.1764705882352,285.6274509803921,51,38,1
10,34,34,1,605.1442307692307,296.0,104,39,1
11,35,35,1,599.3166666666667,302.9,60,40,1
