,index,Unnamed: 0,id,x,y,size,frame,track
0,60,60,1,366.3928571428572,573.125,56,69,1
1,61,61,1,356.22727272727275,581.530303030303,66,70,1
2,62,62,1,346.27272727272725,590.6515151515151,66,71,1
3,63,63,1,339.0740740740741,600.4074074074074,27,72,1
4,64,64,1,335.2058823529412,612.2941176470588,34,73,1
5,65,65,1,327.5471698113208,625.3018867924528,53,74,1
6,66,66,1,316.9516129032258,635.0645161290323,62,75,1
7,67,67,1,307.4078947368421,642.6842105263158,76,76,1
8,68,68,1,296.9,651.0333333333333,90,77,1
9,69,69,1,286.8941176470588,659.3058823529411,85,78,1
10,70,70,1,276.51851851851853,667.6203703703703,108,79,1
11,71,71,1,265.9142857142857,676.1,70,80,1
