,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,12,12,1,401.9924812030075,80.40601503759399,133,19,2,False,2
1,13,13,1,390.22222222222223,86.7008547008547,117,20,2,False,2
2,14,14,2,377.1510791366906,93.94964028776978,139,21,2,False,2
3,15,15,1,366.4724409448819,99.92125984251967,127,22,2,False,2
4,16,16,1,354.64406779661016,105.46610169491524,118,23,2,False,2
5,17,17,1,343.0,111.27835051546391,97,24,2,False,2
6,18,18,1,331.3474576271187,117.59322033898304,118,25,2,False,2
7,19,19,1,319.16326530612247,124.73469387755102,49,26,2,False,2
8,20,20,1,306.3764705882353,131.69411764705882,85,27,2,False,2
9,21,21,1,294.97457627118644,137.72881355932202,118,28,2,False,2
10,22,22,1,282.3333333333333,145.33333333333334,75,29,2,False,2
11,23,23,1,268.8677685950413,152.65289256198346,121,30,2,False,2
