,index,Unnamed: 0,id,x,y,size,frame,track
0,12,12,1,764.4285714285714,85.3265306122449,49,17,1
1,13,13,1,757.7962962962963,93.29629629629628,54,18,1
2,14,14,1,751.0769230769231,102.36923076923075,65,19,1
3,15,15,1,743.063829787234,111.53191489361704,47,20,1
4,16,16,1,733.8387096774194,121.7741935483871,31,21,1
5,17,17,1,726.8846153846154,131.05769230769232,52,22,1
6,18,18,1,718.8139534883721,140.95348837209303,43,23,1
7,19,19,1,710.9019607843137,151.13725490196077,51,24,1
8,20,20,1,702.936170212766,160.5531914893617,47,25,1
9,21,21,1,695.625,170.05357142857142,56,26,1
10,22,22,1,689.0689655172414,180.0344827586207,58,27,1
11,23,23,1,681.9516129032259,189.0,62,28,1
