,index,Unnamed: 0,id,x,y,size,frame,track
0,0,0,1,905.4367816091952,378.8850574712644,435,1,1
1,1,1,1,891.9204545454545,376.9974747474748,792,2,1
2,2,2,1,869.9760479041917,377.35808383233535,835,3,1
3,3,3,1,847.7222898903776,378.0255785627284,821,4,1
4,4,4,1,825.3881334981459,379.51297898640297,809,5,1
5,5,5,1,803.793875147232,381.1648998822144,849,6,1
6,6,6,1,781.6947236180905,384.5489949748744,796,7,1
7,7,7,1,760.1418355184744,387.5363528009535,839,8,1
8,8,8,1,738.4283950617285,391.1493827160494,810,9,1
9,9,9,1,716.0971709717097,396.7515375153752,813,10,1
10,10,10,1,693.564039408867,403.80541871921184,812,11,1
11,11,11,1,672.0330073349634,410.2555012224939,818,12,1
