,index,Unnamed: 0,id,x,y,size,frame,track
0,24,24,1,425.2541567695962,508.8004750593825,842,25,1
1,25,25,1,407.77911164465786,518.4573829531813,833,26,1
2,26,26,1,389.69350961538464,528.7175480769231,832,27,1
3,27,27,1,373.768765133172,539.4467312348668,826,28,1
4,28,28,1,358.56391875746715,550.4659498207885,837,29,1
5,29,29,1,342.30023923444975,561.811004784689,836,30,1
6,30,30,1,326.7197149643705,574.0344418052257,842,31,1
7,31,31,1,311.80649038461536,587.0949519230769,832,32,1
8,32,32,1,297.28743961352654,600.2198067632851,828,33,1
9,33,33,1,283.33610451306413,613.8372921615202,842,34,1
10,34,34,1,270.2515114873035,627.7883917775091,827,35,1
11,35,35,1,258.60705596107056,643.6703163017031,822,36,1
