,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,12,12,1,715.3758333333334,192.3558333333333,1200,15,6,False,4
1,13,13,1,698.5878938640133,203.94776119402985,1206,16,6,False,4
2,14,14,1,682.1398834304746,215.6419650291424,1201,17,6,False,4
3,15,15,1,664.9419568822553,226.075456053068,1206,18,6,False,4
4,16,16,1,646.5237302248127,235.64862614487927,1201,19,6,False,4
5,17,17,1,626.9037162162163,246.16807432432432,1184,20,6,False,4
6,18,18,1,606.0764063811923,255.85474391267843,1191,21,6,False,4
7,19,19,1,583.9564489112228,265.15410385259634,1194,22,7,False,4
8,20,20,2,560.048231511254,273.0876205787781,1244,23,8,False,4
9,21,21,2,537.1954022988506,280.36863711001644,1218,24,9,False,4
10,22,22,2,515.8152350081037,287.1863857374392,1234,25,9,False,4
11,23,23,2,492.6131147540984,293.827868852459,1220,26,9,False,4
