,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,0,0,1,908.4115044247789,16.31858407079646,226,3,1,False,4
1,1,1,1,902.767537826685,33.4828060522696,727,4,1,False,4
2,2,2,1,895.7118927973199,49.22361809045226,1194,5,1,False,4
3,3,3,1,879.810970464135,66.19915611814346,1185,6,1,False,4
4,4,4,1,859.9982698961937,83.29671280276817,1156,7,1,False,4
5,5,5,1,840.303946263644,99.38287153652394,1191,8,2,False,4
6,6,6,1,819.992294520548,114.11215753424658,1168,9,3,False,4
7,7,7,1,800.463891248938,128.8266779949023,1177,10,4,False,4
8,8,8,1,782.8103741496599,142.60969387755102,1176,11,5,False,4
9,9,9,1,764.8199492814878,155.75824175824175,1183,12,6,False,4
10,10,10,1,748.1662468513854,168.30310663308146,1191,13,6,False,4
11,11,11,1,732.2460251046025,180.4451882845188,1195,14,6,False,4
