,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,36,36,2,207.00656275635768,319.7842493847416,1219,39,9,False,4
1,37,37,1,183.96591853699087,317.9684123025769,1203,40,9,False,4
2,38,38,1,160.9388097233864,315.907795473596,1193,41,9,False,4
3,39,39,1,138.39847715736042,313.5761421319797,1182,42,9,False,4
4,40,40,1,116.0569514237856,310.2110552763819,1194,43,9,False,4
5,41,41,1,93.45598006644518,307.5531561461794,1204,44,9,False,4
6,42,42,2,71.89089417555373,304.0188679245283,1219,45,9,False,4
7,43,43,1,50.12771285475793,300.1602671118531,1198,46,9,False,4
8,44,44,1,29.183147033533963,296.3439380911436,1163,47,9,False,4
9,45,45,1,13.047018348623851,291.51490825688074,872,48,9,False,4
10,46,46,1,4.3625,285.025,160,49,9,False,4
