,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,x_shift,y_shift,x_rotate,y_rotate
0,0,24,24,1,425.2541567695962,508.8004750593825,842,25,1,0.0,0.0,0.0,0.0
1,1,25,25,1,407.77911164465786,518.4573829531813,833,26,1,-17.475045124938333,9.656907893798802,-19.773906418816647,-2.7614664813874645
2,2,26,26,1,389.69350961538464,528.7175480769231,832,27,1,-35.56064715421155,19.917073017540588,-40.398224253333595,-5.4067458595487246
3,3,27,27,1,373.768765133172,539.4467312348668,826,28,1,-51.4853916364242,30.646256175484268,-59.575433063078684,-6.380152417929988
4,4,28,28,1,358.56391875746715,550.4659498207885,837,29,1,-66.69023801212904,41.66547476140602,-78.3508106508256,-6.689551821030996
5,5,29,29,1,342.30023923444975,561.811004784689,836,30,1,-82.95391753514645,53.01052972530647,-98.16871933631916,-7.373685649149529
6,6,30,30,1,326.7197149643705,574.0344418052257,842,31,1,-98.5344418052257,65.23396674584319,-117.9672436560742,-6.94521874771479
7,7,31,31,1,311.80649038461536,587.0949519230769,832,32,1,-113.44766638498083,78.2944768636944,-137.7342784537437,-5.44671041859926
8,8,32,32,1,297.28743961352654,600.2198067632851,828,33,1,-127.96671715606965,91.41933170390257,-157.22460966712362,-3.6601945180989333
9,9,33,33,1,283.33610451306413,613.8372921615202,842,34,1,-141.91805225653206,105.03681710213766,-176.55641971889142,-1.1389290067121038
10,10,34,34,1,270.2515114873035,627.7883917775091,827,35,1,-155.0026452822927,118.9879167181266,-195.39508287271107,2.169322150916102
11,11,35,35,1,258.60705596107056,643.6703163017031,822,36,1,-166.64710080852564,134.8698412423206,-214.24037042290905,7.886315088200973
