,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,x_shift,y_shift,x_rotate,y_rotate
0,0,12,12,1,650.2129742962056,417.20685434516525,817,13,1,0.0,0.0,0.0,0.0
1,1,13,13,1,630.7616136919315,422.2286063569682,818,14,1,-19.4513606042741,5.02175201180296,-19.89606037628431,-2.7785255314290316
2,2,14,14,1,610.5634146341464,427.5012195121951,820,15,1,-39.64955966205923,10.294365167029866,-40.57817905234723,-5.610073117438031
3,3,15,15,1,591.1812725090036,433.2244897959184,833,16,1,-59.031701787201996,16.01763545075312,-60.677877867877584,-7.7137279429146375
4,4,16,16,1,571.0373944511459,440.5259348612786,829,17,1,-79.1755798450597,23.31908051611333,-82.08376255349921,-8.64915515985005
5,5,17,17,1,551.0107142857142,447.627380952381,840,18,1,-99.20226001049139,30.42052660721572,-103.30501508269755,-9.724746218441457
6,6,18,18,1,532.239336492891,454.8056872037915,844,19,1,-117.97363780331466,37.598832858626224,-123.39522135581413,-10.250404647047723
7,7,19,19,1,512.8595641646489,462.8510895883777,826,20,1,-137.35341013155676,45.64423524321245,-144.3785995301822,-10.206639182837236
8,8,20,20,1,492.12132352941177,471.6446078431373,816,21,1,-158.09165076679386,54.43775349797204,-166.9031077863651,-9.989577535054963
9,9,21,21,1,473.95443349753697,480.97536945812806,812,22,1,-176.25854079866866,63.7685151129628,-187.25568186347857,-8.294958350215609
10,10,22,22,1,456.7721212121212,490.4436363636364,825,23,1,-193.44085308408444,73.23678201847116,-206.75059572610274,-6.0976265235769915
11,11,23,23,1,439.9108796296296,500.1134259259259,864,24,1,-210.302094666576,82.90657158076067,-226.02559935464183,-3.591527363146355
