,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,x_shift,y_shift,x_rotate,y_rotate
0,0,0,0,1,905.4367816091952,378.8850574712644,435,1,1,0.0,0.0,0.0,0.0
1,1,1,1,1,891.9204545454545,376.9974747474748,792,2,1,-13.516327063740732,-1.887582723789592,-13.516327063740732,-1.887582723789592
2,2,2,2,1,869.9760479041917,377.35808383233535,835,3,1,-35.46073370500358,-1.5269736389290642,-35.46073370500358,-1.5269736389290642
3,3,3,3,1,847.7222898903776,378.0255785627284,821,4,1,-57.71449171881761,-0.8594789085360048,-57.71449171881761,-0.8594789085360048
4,4,4,4,1,825.3881334981459,379.51297898640297,809,5,1,-80.04864811104937,0.6279215151385529,-80.04864811104937,0.6279215151385529
5,5,5,5,1,803.793875147232,381.1648998822144,849,6,1,-101.64290646196321,2.279842410949982,-101.64290646196321,2.279842410949982
6,6,6,6,1,781.6947236180905,384.5489949748744,796,7,1,-123.74205799110473,5.663937503609986,-123.74205799110473,5.663937503609986
7,7,7,7,1,760.1418355184744,387.5363528009535,839,8,1,-145.29494609072083,8.651295329689106,-145.29494609072083,8.651295329689106
8,8,8,8,1,738.4283950617285,391.1493827160494,810,9,1,-167.00838654746678,12.26432524478497,-167.00838654746678,12.26432524478497
9,9,9,9,1,716.0971709717097,396.7515375153752,813,10,1,-189.33961063748552,17.8664800441108,-189.33961063748552,17.8664800441108
10,10,10,10,1,693.564039408867,403.80541871921184,812,11,1,-211.87274220032828,24.920361247947426,-211.87274220032828,24.920361247947426
11,11,11,11,1,672.0330073349634,410.2555012224939,818,12,1,-233.40377427423186,31.37044375122946,-233.40377427423186,31.37044375122946
