,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,36,36,1,383.7422324510932,349.17376294591486,869,37,1,False,2
1,37,37,1,369.8779395296753,355.99552071668535,893,38,1,False,2
2,38,38,1,355.3032329988852,362.1850613154961,897,39,1,False,2
3,39,39,1,340.38520971302427,367.91832229580575,906,40,1,False,2
4,40,40,1,325.7066521264995,374.08178844056704,917,41,1,False,2
5,41,41,1,311.0440528634361,380.409691629956,908,42,1,False,2
6,42,42,1,296.3128555176337,386.6245733788396,879,43,1,False,2
7,43,43,1,281.85407239819006,392.7273755656109,884,44,1,False,2
8,44,44,1,267.29801324503313,399.22185430463577,906,45,1,False,2
9,45,45,1,252.6135321100917,405.9587155963303,872,46,1,False,2
10,46,46,1,240.0101351351352,412.65202702702703,888,47,1,False,2
11,47,47,1,224.6659217877095,419.122905027933,895,48,1,False,2
