,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,456,456,456,2,363.0484522207268,648.4993270524899,743,459,11,False,0
1,457,457,457,2,380.3543307086614,655.2506561679791,762,460,11,False,0
2,458,458,458,2,384.4891165172856,677.4122919334187,781,461,11,False,0
3,459,459,459,2,366.0,694.3051702395965,793,462,11,False,0
4,460,460,460,2,354.3948948948949,677.9744744744745,666,463,11,False,0
5,461,461,461,2,363.7905759162304,660.6256544502618,764,464,11,False,0
6,462,462,462,2,390.0358974358974,656.425641025641,780,465,11,False,0
7,463,463,463,2,403.6818791946309,677.2805369127517,745,466,11,False,0
8,464,464,464,2,384.91632373113856,685.076817558299,729,467,11,False,0
9,465,465,465,2,371.4118404118404,667.1158301158301,777,468,11,False,0
10,466,466,466,2,381.74966532797856,646.1004016064257,747,469,11,False,0
11,467,467,467,2,405.560650887574,648.5917159763313,676,470,11,False,0
