,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,1308,1530,2,240.03732503888023,557.3312597200622,643,1532,2,False,0
1,1309,1531,2,254.5897435897436,535.8119658119658,585,1533,2,False,0
2,1310,1532,2,279.21451612903223,541.4951612903226,620,1534,2,False,0
3,1311,1533,2,279.7725752508361,566.1789297658863,598,1535,2,False,0
4,1312,1534,2,253.8204334365325,571.7476780185758,646,1536,2,False,0
5,1313,1535,2,238.73040752351096,551.1880877742947,638,1537,2,False,0
6,1314,1536,2,252.1604938271605,528.1265432098766,648,1538,2,False,0
7,1315,1537,2,278.2927215189873,530.8955696202531,632,1539,2,False,0
8,1316,1538,2,287.57774140752866,555.4795417348608,611,1540,2,False,0
9,1317,1539,2,265.8906752411576,570.6623794212219,622,1541,2,False,0
10,1318,1540,2,245.7145085803432,555.9609984399376,641,1542,2,False,0
11,1319,1541,2,249.4113149847095,530.9250764525993,654,1543,2,False,0
