,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,264,323,2,455.93197278911566,615.4557823129252,588,326,11,False,0
1,265,324,2,455.12698412698415,637.953823953824,693,327,11,False,0
2,266,325,2,433.15,640.8867647058823,680,328,11,False,0
3,267,326,2,426.70364238410593,621.1622516556291,604,329,11,False,0
4,268,327,2,446.2764227642276,608.6959349593496,615,330,11,False,0
5,269,328,2,465.6641337386018,627.5258358662614,658,331,11,False,0
6,270,329,2,450.1522346368715,647.5349162011173,716,332,11,False,0
7,271,330,2,434.4931506849315,631.5188356164383,584,333,11,False,0
8,272,331,2,441.80252764612953,610.2638230647709,633,334,11,False,0
9,273,332,2,465.65348101265823,608.992088607595,632,335,11,False,0
10,274,333,2,471.3948948948949,633.9354354354355,666,336,11,False,0
11,275,334,2,449.94618055555554,634.015625,576,337,11,False,0
