,index,Unnamed: 0,id,x,y,size,frame,track
0,24,24,1,698.9264305177112,503.24795640326977,367,26,1
1,25,25,1,712.2078239608802,497.1246943765281,409,27,1
2,26,26,1,728.1139896373057,491.0025906735751,386,28,1
3,27,27,1,737.9123867069486,491.2084592145015,331,29,1
4,28,28,1,749.2478873239437,490.8647887323944,355,30,1
5,29,29,1,765.5961002785515,486.8105849582173,359,31,1
6,30,30,1,781.1696202531646,479.0759493670886,395,32,1
7,31,31,1,794.3227513227513,473.7936507936508,378,33,1
8,32,32,1,805.478021978022,470.0851648351649,364,34,1
9,33,33,1,820.4810126582279,467.06835443037977,395,35,1
10,34,34,1,835.8688524590164,464.0765027322405,366,36,1
11,35,35,1,852.2083333333334,462.8541666666667,384,37,1
