,index,Unnamed: 0,id,x,y,size,frame,track
0,12,12,1,551.8072625698323,604.3128491620112,358,14,1
1,13,13,1,561.3294797687861,595.0606936416185,346,15,1
2,14,14,1,571.9162011173185,587.0837988826815,358,16,1
3,15,15,1,583.6857142857143,579.2228571428572,350,17,1
4,16,16,1,595.6422535211268,572.4845070422535,355,18,1
5,17,17,1,608.987012987013,562.8181818181819,385,19,1
6,18,18,1,620.8323353293413,548.9191616766467,334,20,1
7,19,19,1,631.1151515151515,540.8606060606061,330,21,1
8,20,20,1,644.3402985074626,536.5014925373134,335,22,1
9,21,21,1,659.5700636942676,530.6433121019109,314,23,1
10,22,22,1,673.9157608695652,520.8885869565217,368,24,1
11,23,23,1,686.986301369863,511.0794520547945,365,25,1
