,index,Unnamed: 0,id,x,y,size,frame,track
0,0,0,1,469.37391304347824,731.008695652174,230,2,1
1,1,1,1,473.6725,723.7175,400,3,1
2,2,2,1,479.39142857142855,710.62,350,4,1
3,3,3,1,485.3982035928144,697.8712574850299,334,5,1
4,4,4,1,491.92123287671234,684.9965753424658,292,6,1
5,5,5,1,499.0275229357798,672.8746177370031,327,7,1
6,6,6,1,506.462783171521,663.4919093851132,309,8,1
7,7,7,1,515.7418397626112,653.3827893175074,337,9,1
8,8,8,1,523.4122807017544,643.874269005848,342,10,1
9,9,9,1,530.2,634.3159420289855,345,11,1
10,10,10,1,537.1355421686746,623.6807228915662,332,12,1
11,11,11,1,543.34,613.2057142857143,350,13,1
