,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,x_shift,y_shift,x_rotate,y_rotate
0,0,0,0,1,469.37391304347824,731.008695652174,230,2,1,0.0,0.0,0.0,0.0
1,1,1,1,1,473.6725,723.7175,400,3,1,4.298586956521774,-7.291195652173997,4.298586956521774,-7.291195652173997
2,2,2,2,1,479.39142857142855,710.62,350,4,1,10.017515527950309,-20.388695652173965,10.017515527950309,-20.388695652173965
3,3,3,3,1,485.3982035928144,697.8712574850299,334,5,1,16.024290549336172,-33.13743816714407,16.024290549336172,-33.13743816714407
4,4,4,4,1,491.92123287671234,684.9965753424658,292,6,1,22.5473198332341,-46.012120309708166,22.5473198332341,-46.012120309708166
5,5,5,5,1,499.0275229357798,672.8746177370031,327,7,1,29.653609892301574,-58.134077915170906,29.653609892301574,-58.134077915170906
6,6,6,6,1,506.462783171521,663.4919093851132,309,8,1,37.08887012804274,-67.51678626706075,37.08887012804274,-67.51678626706075
7,7,7,7,1,515.7418397626112,653.3827893175074,337,9,1,46.36792671913298,-77.62590633466652,46.36792671913298,-77.62590633466652
8,8,8,8,1,523.4122807017544,643.874269005848,342,10,1,54.03836765827617,-87.134426646326,54.03836765827617,-87.134426646326
9,9,9,9,1,530.2,634.3159420289855,345,11,1,60.826086956521806,-96.69275362318842,60.826086956521806,-96.69275362318842
10,10,10,10,1,537.1355421686746,623.6807228915662,332,12,1,67.76162912519641,-107.32797276060774,67.76162912519641,-107.32797276060774
11,11,11,11,1,543.34,613.2057142857143,350,13,1,73.96608695652179,-117.80298136645968,73.96608695652179,-117.80298136645968
