,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,720,720,1,436.7332178432222,616.1593763533997,2309,721,3,False,1,0.0,0.0,0.0,0.0
1,1,721,721,3,473.80144730891,568.4753505201267,2211,722,3,False,1,37.06822946568781,-47.68402583327304,60.3323306202053,2.798184647834244
2,2,722,722,2,515.0758377425044,604.2217813051146,2268,723,3,False,1,78.34261989928223,-11.937595048285061,54.91899737132759,57.13121735048505
3,3,723,723,1,477.487494315598,642.0090950432015,2199,724,3,False,1,40.75427647237581,25.84971868980176,2.373363864929221,48.20255336694706
4,4,724,724,2,440.1881838074398,603.9382932166302,2285,725,3,False,1,3.4549659642176493,-12.221083136769494,11.977577730933929,-4.222474931739647
5,5,725,725,3,478.5734951003266,560.3159122725152,2143,726,3,False,1,41.84027725710445,-55.84346408088447,69.75046564146075,1.9934453350439867
6,6,726,726,2,523.0873614190688,596.4314855875831,2255,727,3,False,1,86.35414357584659,-19.727890765816596,65.90308005492662,59.186246933386926
7,7,727,727,1,482.9901256732496,636.798473967684,2228,728,3,False,1,46.256907830027444,20.63909761428431,9.803222356436233,49.69477541711884
8,8,728,728,2,441.5221546481321,596.4739357080799,2302,729,3,False,1,4.788936804909895,-19.685440645319773,18.845700163352227,-7.435729585915164
9,9,729,729,3,482.615096108767,555.0726676043132,2133,730,3,False,1,45.8818782655448,-61.08670874908648,76.36469036859677,2.2730604651736357
10,10,730,730,2,519.8381247235736,597.3264042459089,2261,731,3,False,1,83.10490688035145,-18.832972107490832,63.29864830447533,57.04723927430455
11,11,731,731,1,477.9276576973974,633.3445081605646,2267,732,3,False,1,41.19443985417524,17.185131807164908,9.706902775042662,43.56703649142045
