,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,792,792,2,498.8147497805092,612.8103599648815,2278,793,3,False,1,0.0,0.0,0.0,0.0
1,1,793,793,1,457.4478021978022,648.2953296703297,2184,794,3,False,1,-41.366947582706985,35.48496970544818,54.44292072721385,2.5250366328650955
2,2,794,794,2,425.4268398268399,603.8584415584415,2310,795,3,False,1,-73.3879099536693,-8.951918406439972,47.291400247251836,56.828211595805655
3,3,795,795,3,472.1949229374433,567.529011786038,2206,796,3,False,1,-26.61982684306588,-45.28134817884347,-11.662610954843704,51.21522410147614
4,4,796,796,2,508.51629955947135,617.0132158590309,2270,797,3,False,1,9.701549778962146,4.202855894149366,-4.181727812141328,-9.710675480409705
5,5,797,797,1,455.6545045045045,649.3094594594595,2220,798,3,False,1,-43.16024527600473,36.49909949457799,56.44372492909787,3.016115436837296
6,6,798,798,2,428.482505399568,601.4773218142549,2315,799,3,False,1,-70.33224438094118,-11.333038150626635,43.43442027712018,56.466923845508724
7,7,799,799,3,474.9025826914364,575.193475305845,2207,800,3,False,1,-23.912167089072796,-37.61688465903649,-8.379498459236327,43.77905608757054
8,8,800,800,2,500.7114183764496,622.7413024085638,2242,801,3,False,1,1.8966685959404117,9.930942443682284,5.42731719717619,-8.530251908577636
9,9,801,801,1,448.6258960573477,653.4771505376344,2232,802,3,False,1,-50.188853723161515,40.666790572752916,64.41789565737969,4.800376298582602
10,10,802,802,2,419.37413194444446,600.8524305555555,2304,803,3,False,1,-79.44061783606475,-11.95792940932597,49.63716815414942,63.16609355952612
11,11,803,803,3,471.5769405356333,572.1320926009986,2203,804,3,False,1,-27.237809244875905,-40.678267363882924,-8.057067829609256,48.287714236406615
