,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,60,282,2,265.29622980251344,533.8815080789947,557,284,2,False,0,0.0,0.0,0.0,0.0
1,1,61,283,2,280.7246127366609,551.9879518072289,581,285,2,False,0,15.428382934147464,18.10644372823424,-22.777770571901677,6.859407570644544
2,2,62,284,2,268.90814558058923,567.3916811091855,577,286,2,False,0,3.6119157780757973,33.5101730301908,-32.14029784118851,-10.147851338137201
3,3,63,285,2,256.4204753199269,545.3473491773309,547,287,2,False,0,-8.875754482586558,11.465841098336227,-6.936875446394004,-12.732803649183769
4,4,64,286,2,277.97027972027973,528.9388111888112,572,288,2,False,0,12.674049917766297,-4.94269689018347,-0.5624613665406315,13.592109147494751
5,5,65,287,2,298.64310954063603,544.5671378091873,566,289,2,False,0,33.346879738122595,10.685629730192659,-23.176546112454886,26.24966249872255
6,6,66,288,2,290.7963963963964,568.4162162162162,555,290,2,False,0,25.500166593882966,34.534708137221514,-41.867690389641375,9.486889051527374
7,7,67,289,2,266.04340277777777,568.1979166666666,576,291,2,False,0,0.7471729752643341,34.31640858767196,-31.728362095486045,-13.095235948570592
8,8,68,290,2,258.2293906810036,546.9551971326165,558,292,2,False,0,-7.066839121509815,13.07368905362182,-9.135764918305691,-11.721747309917053
9,9,69,291,2,279.98295454545456,546.3560606060606,528,293,2,False,0,14.686724742941124,12.474552527065953,-17.322051379335832,8.441615984934174
10,10,70,292,2,282.1267857142857,573.6535714285715,560,294,2,False,0,16.83055591177225,39.7720633495768,-43.1830449853549,-0.5561125559248854
11,11,71,293,2,259.8595890410959,584.6198630136986,584,295,2,False,0,-5.43664076141755,50.73835493470392,-44.28516798372065,-25.352743853522913
