,id,x,y,size,frame,track
0,1,469.37391304347824,731.008695652174,230,2,1
1,1,473.6725,723.7175,400,3,1
2,1,479.39142857142855,710.62,350,4,1
3,1,485.3982035928144,697.8712574850299,334,5,1
4,1,491.92123287671234,684.9965753424658,292,6,1
5,1,499.0275229357798,672.8746177370031,327,7,1
6,1,506.462783171521,663.4919093851132,309,8,1
7,1,515.7418397626112,653.3827893175074,337,9,1
8,1,523.4122807017544,643.874269005848,342,10,1
9,1,530.2,634.3159420289855,345,11,1
10,1,537.1355421686746,623.6807228915662,332,12,1
11,1,543.34,613.2057142857143,350,13,1
12,1,551.8072625698323,604.3128491620112,358,14,1
13,1,561.3294797687861,595.0606936416185,346,15,1
14,1,571.9162011173185,587.0837988826815,358,16,1
15,1,583.6857142857143,579.2228571428572,350,17,1
16,1,595.6422535211268,572.4845070422535,355,18,1
17,1,608.987012987013,562.8181818181819,385,19,1
18,1,620.8323353293413,548.9191616766467,334,20,1
19,1,631.1151515151515,540.8606060606061,330,21,1
20,1,644.3402985074626,536.5014925373134,335,22,1
21,1,659.5700636942676,530.6433121019109,314,23,1
22,1,673.9157608695652,520.8885869565217,368,24,1
23,1,686.986301369863,511.0794520547945,365,25,1
24,1,698.9264305177112,503.24795640326977,367,26,1
25,1,712.2078239608802,497.1246943765281,409,27,1
26,1,728.1139896373057,491.0025906735751,386,28,1
27,1,737.9123867069486,491.2084592145015,331,29,1
28,1,749.2478873239437,490.8647887323944,355,30,1
29,1,765.5961002785515,486.8105849582173,359,31,1
30,1,781.1696202531646,479.0759493670886,395,32,1
31,1,794.3227513227513,473.7936507936508,378,33,1
32,1,805.478021978022,470.0851648351649,364,34,1
33,1,820.4810126582279,467.06835443037977,395,35,1
34,1,835.8688524590164,464.0765027322405,366,36,1
35,1,852.2083333333334,462.8541666666667,384,37,1
36,1,866.203125,462.9973958333333,384,38,1
37,1,878.7350427350427,463.54700854700855,351,39,1
38,1,892.248,463.984,375,40,1
39,1,904.2023460410558,464.7536656891496,341,41,1
40,1,910.0581395348836,465.0,86,42,1
