,id,x,y,size,frame,track,ignore,track_fixed
38,5,574.9014084507043,449.8450704225352,71,43,8,False,8
39,9,575.012987012987,462.9350649350649,77,44,8,False,8
40,9,576.625,465.30555555555554,72,45,8,False,8
41,7,590.6627906976744,480.9767441860465,86,46,8,False,8
42,4,592.953488372093,492.8139534883721,86,47,8,False,8
43,4,594.9770114942529,502.81609195402297,87,48,8,False,8
44,7,595.4651162790698,518.5697674418604,86,49,8,False,8
45,3,595.7307692307693,526.7179487179487,78,50,8,False,8
46,7,594.6559139784946,545.0645161290323,93,51,8,False,8
47,8,594.3855421686746,554.8915662650602,83,52,8,False,8
48,5,591.4123711340206,570.0309278350516,97,53,8,False,8
49,4,587.940594059406,574.7920792079208,101,54,8,False,8
50,5,587.0117647058823,592.2588235294118,85,55,8,False,8
51,5,583.89898989899,598.7070707070707,99,56,8,False,8
52,2,579.7,607.6,80,57,8,False,8
53,5,577.5,619.3333333333334,84,58,8,False,8
54,5,574.2555555555556,643.3,90,59,8,False,8
55,5,574.2168674698795,654.2168674698795,83,60,8,False,8
56,3,573.1325301204819,665.8795180722891,83,61,8,False,8
57,5,569.5604395604396,674.0439560439561,91,62,8,False,8
58,1,569.4110671936759,681.5138339920949,253,63,8,False,8
59,4,565.803738317757,687.1682242990654,107,64,8,False,8
60,5,586.1219512195122,710.0365853658536,82,68,12,False,8
61,1,582.544,711.876,250,69,12,False,8
62,1,590.1278195488721,713.3233082706766,266,70,12,False,8
63,1,597.1610169491526,714.2330508474577,236,71,12,False,8
64,1,600.9302325581396,717.422480620155,258,72,12,False,8
65,1,607.9578947368421,720.4473684210526,190,73,12,False,8
66,1,615.73125,718.61875,160,74,12,False,8
67,1,620.0454545454545,717.7402597402597,154,75,12,False,8
68,1,623.9030303030303,716.1090909090909,165,76,12,False,8
69,1,630.5886075949367,713.0696202531645,158,77,12,False,8
70,1,642.609375,711.40625,128,78,12,False,8
71,1,653.2899408284023,710.6213017751479,169,79,12,False,8
72,1,666.070652173913,710.1902173913044,184,80,12,False,8
73,1,677.3812154696133,709.8729281767955,181,81,12,False,8
74,1,688.5357142857143,710.2142857142857,28,82,12,False,8
75,1,699.2661870503597,713.3093525179856,139,83,12,False,8
76,1,712.2803738317757,715.018691588785,107,84,12,False,8
77,1,722.9741935483871,718.0967741935484,155,85,12,False,8
78,1,734.1951219512196,720.3414634146342,123,86,12,False,8
79,1,749.7333333333333,720.8666666666667,30,87,12,False,8
80,1,761.468085106383,722.4468085106383,47,88,12,False,8
81,1,773.6363636363636,724.1818181818181,33,89,12,False,8
