,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,936,936,936,3,433.22707423580783,455.717903930131,1145,937,1,False,1
1,937,937,937,3,433.1467248908297,455.7371179039301,1145,938,1,False,1
2,938,938,938,3,433.4063324538259,455.5963060686016,1137,939,1,False,1
3,939,939,939,3,433.0984589041096,456.041095890411,1168,940,1,False,1
4,940,940,940,3,433.0976253298153,455.81442392260334,1137,941,1,False,1
5,941,941,941,3,433.2007233273056,455.8245931283906,1106,942,1,False,1
6,942,942,942,3,433.0779109589041,455.9760273972603,1168,943,1,False,1
7,943,943,943,3,433.0904936014625,455.5356489945156,1094,944,1,False,1
8,944,944,944,3,433.1878260869565,455.9791304347826,1150,945,1,False,1
9,945,945,945,3,433.11359724612737,455.8115318416523,1162,946,1,False,1
10,946,946,946,3,432.9818181818182,455.5473684210526,1045,947,1,False,1
11,947,947,947,3,433.0609137055837,456.1015228426396,1182,948,1,False,1
