,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,960,960,960,3,433.0008532423208,455.2167235494881,1172,961,1,False,1
1,961,961,961,3,433.2359750667854,455.6215494211932,1123,962,1,False,1
2,962,962,962,3,433.2203389830509,456.03050847457627,1180,963,1,False,1
3,963,963,963,3,433.0470487596237,455.9110350727117,1169,964,1,False,1
4,964,964,964,3,433.27086882453153,455.4088586030665,1174,965,1,False,1
5,965,965,965,3,433.1863468634687,455.80073800738006,1084,966,1,False,1
6,966,966,966,3,433.34165232358,455.83476764199656,1162,967,1,False,1
7,967,967,967,3,433.392382639504,455.7590788308237,1129,968,1,False,1
8,968,968,968,3,433.15784586815226,455.4233983286908,1077,969,1,False,1
9,969,969,969,3,433.29888027562447,455.5383290267011,1161,970,1,False,1
10,970,970,970,3,433.05012964563525,455.3076923076923,1157,971,1,False,1
11,971,971,971,3,432.9783737024221,455.7915224913495,1156,972,1,False,1
