,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,1044,1044,1044,3,433.2044817927171,455.3034547152194,1071,1045,1,False,1
1,1045,1045,1045,3,433.21123218776194,455.7820620284996,1193,1046,1,False,1
2,1046,1046,1046,3,433.2943925233645,455.2411214953271,1070,1047,1,False,1
3,1047,1047,1047,3,433.2580054894785,455.20219579139984,1093,1048,1,False,1
4,1048,1048,1048,3,433.4251290877797,455.5335628227194,1162,1049,1,False,1
5,1049,1049,1049,3,433.2878093492209,455.56003666361136,1091,1050,1,False,1
6,1050,1050,1050,3,433.216609589041,455.576198630137,1168,1051,1,False,1
7,1051,1051,1051,3,433.2887511071745,455.0814880425155,1129,1052,1,False,1
8,1052,1052,1052,3,433.5140425531915,455.3446808510639,1175,1053,1,False,1
9,1053,1053,1053,3,433.1954128440367,455.3348623853211,1090,1054,1,False,1
10,1054,1054,1054,3,433.4257340241796,455.2443868739206,1158,1055,1,False,1
11,1055,1055,1055,3,433.4305799648506,455.3216168717048,1138,1056,1,False,1
