,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,564,564,2,590.9276018099547,259.52579185520364,1105,565,1,False,1
1,565,565,2,585.7644320297951,261.49162011173183,1074,566,1,False,1
2,566,566,3,581.4509090909091,262.60636363636365,1100,567,1,False,1
3,567,567,3,576.8182665424044,264.3075489282386,1073,568,1,False,1
4,568,568,2,572.3440073193046,266.4437328453797,1093,569,1,False,1
5,569,569,2,567.1784728610855,269.7792088316467,1087,570,1,False,1
6,570,570,2,562.3327171903882,273.2116451016636,1082,571,1,False,1
7,571,571,2,558.242700729927,276.6587591240876,1096,572,1,False,1
8,572,572,2,555.2996183206106,279.62404580152673,1048,573,1,False,1
9,573,573,3,552.3323782234957,281.261700095511,1047,574,1,False,1
10,574,574,3,548.8956602031394,285.11726685133885,1083,575,1,False,1
11,575,575,3,546.5743685687559,288.8961646398503,1069,576,1,False,1
