,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,1104,1104,1104,3,433.3916518650089,455.23268206039074,1126,1105,1,False,1
1,1105,1105,1105,3,433.46605504587154,455.3972477064221,1090,1106,1,False,1
2,1106,1106,1106,3,433.3342391304348,455.1893115942029,1104,1107,1,False,1
3,1107,1107,1107,3,433.6530264279625,455.0852514919011,1173,1108,1,False,1
4,1108,1108,1108,3,433.3473967684022,455.229802513465,1114,1109,1,False,1
5,1109,1109,1109,3,433.66092943201375,455.407917383821,1162,1110,1,False,1
6,1110,1110,1110,3,433.3396911898274,455.6021798365123,1101,1111,1,False,1
7,1111,1111,1111,3,433.57067137809184,455.8109540636042,1132,1112,1,False,1
8,1112,1112,1112,3,433.1919191919192,455.459595959596,1188,1113,1,False,1
9,1113,1113,1113,3,433.4016620498615,455.477377654663,1083,1114,1,False,1
10,1114,1114,1114,3,433.5636856368564,455.2610659439928,1107,1115,1,False,1
11,1115,1115,1115,3,433.59212730318256,455.52261306532665,1194,1116,1,False,1
