,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,1212,1212,1212,3,434.02309058614566,455.1287744227353,1126,1213,1,False,1
1,1213,1213,1213,3,433.7527151211362,455.2932330827068,1197,1214,1,False,1
2,1214,1214,1214,3,433.706103286385,455.08544600938967,1065,1215,1,False,1
3,1215,1215,1215,3,434.00084889643466,455.0611205432937,1178,1216,1,False,1
4,1216,1216,1216,3,433.7894736842105,455.17428817946507,1159,1217,1,False,1
5,1217,1217,1217,3,433.6448763250883,455.2049469964665,1132,1218,1,False,1
6,1218,1218,1218,3,434.1454234388366,455.14798973481606,1169,1219,1,False,1
7,1219,1219,1219,3,433.6741767764298,454.9341421143848,1154,1220,1,False,1
8,1220,1220,1220,3,433.80307136404696,455.1815718157181,1107,1221,1,False,1
9,1221,1221,1221,3,433.6546961325967,454.9567219152855,1086,1222,1,False,1
10,1222,1222,1222,3,433.81453634085216,455.32748538011697,1197,1223,1,False,1
11,1223,1223,1223,3,433.66058394160586,455.0191605839416,1096,1224,1,False,1
