,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,432,432,1,721.9454336588168,364.8661688684664,1741,433,1,False,1
1,433,433,1,720.803967327888,360.1336056009335,1714,434,1,False,1
2,434,434,1,719.5938940092166,355.0034562211982,1736,435,1,False,1
3,435,435,1,717.4887866589994,350.1909143185739,1739,436,1,False,1
4,436,436,1,715.4749568221071,345.3649971214738,1737,437,1,False,1
5,437,437,1,713.4820185614849,340.70591647331787,1724,438,1,False,1
6,438,438,1,711.3349906774394,336.54816656308265,1609,439,1,False,1
7,439,439,1,709.227353463588,332.9632918886915,1689,440,1,False,1
8,440,440,1,706.5513285024155,329.137077294686,1656,441,1,False,1
9,441,441,1,703.6218335343788,325.23220747889025,1658,442,1,False,1
10,442,442,1,701.9869888475837,323.13940520446096,1614,443,1,False,1
11,443,443,1,699.7598008711885,320.9583074051027,1607,444,1,False,1
