,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,1056,1056,1056,3,433.2583612040134,455.60535117056855,1196,1057,1,False,1
1,1057,1057,1057,3,433.6714801444043,455.413357400722,1108,1058,1,False,1
2,1058,1058,1058,3,433.3588435374149,455.44302721088434,1176,1059,1,False,1
3,1059,1059,1059,3,433.590248075278,455.2848588537211,1169,1060,1,False,1
4,1060,1060,1060,3,433.3274956217163,455.4816112084063,1142,1061,1,False,1
5,1061,1061,1061,3,433.3384353741496,455.61139455782313,1176,1062,1,False,1
6,1062,1062,1062,3,433.590831918506,455.5076400679117,1178,1063,1,False,1
7,1063,1063,1063,3,433.35646958012,455.4173093401885,1167,1064,1,False,1
8,1064,1064,1064,3,433.4261862917399,455.1616871704745,1138,1065,1,False,1
9,1065,1065,1065,3,433.1685393258427,455.6231633535005,1157,1066,1,False,1
10,1066,1066,1066,3,433.1614678899082,455.5467889908257,1090,1067,1,False,1
11,1067,1067,1067,3,433.4150298889838,455.533731853117,1171,1068,1,False,1
