,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,1068,1068,1068,3,433.3353140916808,455.5806451612903,1178,1069,1,False,1
1,1069,1069,1069,3,433.48765957446807,455.4578723404255,1175,1070,1,False,1
2,1070,1070,1070,3,433.3298969072165,455.28678537956887,1067,1071,1,False,1
3,1071,1071,1071,3,433.4881154499151,455.7079796264856,1178,1072,1,False,1
4,1072,1072,1072,3,433.2335581787521,455.6897133220911,1186,1073,1,False,1
5,1073,1073,1073,3,433.14463176574975,455.6885536823425,1127,1074,1,False,1
6,1074,1074,1074,3,433.39316987740807,455.3274956217163,1142,1075,1,False,1
7,1075,1075,1075,3,433.2585910652921,455.49226804123714,1164,1076,1,False,1
8,1076,1076,1076,3,433.42304457527337,455.7275021026072,1189,1077,1,False,1
9,1077,1077,1077,3,433.17395104895104,455.2674825174825,1144,1078,1,False,1
10,1078,1078,1078,3,433.4176570458404,455.4660441426146,1178,1079,1,False,1
11,1079,1079,1079,3,433.4317032040472,455.73946037099495,1186,1080,1,False,1
