,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,24,24,2,471.0666125101544,299.33468724614136,1231,27,9,False,4,0.0,0.0,0.0,0.0
1,1,25,25,2,449.2220408163265,305.1567346938775,1225,28,9,False,4,-21.844571693827902,5.822047447736168,-7.061733195850805,21.475881198244164
2,2,26,26,1,426.8563122923588,309.8330564784053,1204,29,9,False,4,-44.210300217795634,10.49836923226394,-15.367782272943863,42.762105536280124
3,3,27,27,1,404.8159663865546,313.42605042016805,1190,30,9,False,4,-66.25064612359984,14.091363174026696,-24.403276610214512,63.18381690418937
4,4,28,28,1,382.9825291181364,316.4134775374376,1202,31,9,False,4,-88.08408339201799,17.07879029129623,-33.8328468811575,83.10131946450792
5,5,29,29,1,360.9557595993322,318.3238731218698,1198,32,9,False,4,-110.11085291082219,18.989185875728424,-44.27005498166693,102.59216023113984
6,6,30,30,1,339.8358333333333,320.8591666666667,1200,33,9,False,4,-131.2307791768211,21.524479420525324,-53.68835840851479,121.66503519532249
7,7,31,31,2,318.8650406504065,322.9146341463415,1230,34,9,False,4,-152.2015718597479,23.579946900200127,-63.42700582863675,140.3508008670002
8,8,32,32,2,297.3478260869565,323.8867924528302,1219,35,9,False,4,-173.7187864231979,24.55210520668885,-74.3715036817484,158.90217766457658
9,9,33,33,1,274.74257425742576,323.8943894389439,1212,36,9,False,4,-196.32403825272866,24.559702192802547,-86.71838385402685,177.8376475030067
10,10,34,34,1,252.56718878812865,323.0585325638912,1213,37,9,False,4,-218.49942372202577,23.723845317749863,-99.53672305696388,195.95218745040626
11,11,35,35,2,229.9958881578948,321.63486842105266,1216,38,9,False,4,-241.07072435225962,22.3001811749113,-113.06369415475498,214.07707323353668
