,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,84,84,1,501.6,412.34583333333336,240,85,1,False,1
1,85,85,1,496.2712765957447,411.0478723404256,188,86,1,False,1
2,86,86,1,490.8795180722892,410.7831325301205,166,87,1,False,1
3,87,87,2,485.1179775280899,411.41011235955057,178,88,1,False,1
4,88,88,1,478.94152046783626,412.34502923976606,171,89,1,False,1
5,89,89,1,473.43093922651934,414.3591160220994,181,90,1,False,1
6,90,90,1,471.5617283950617,415.2592592592592,162,91,1,False,1
7,91,91,1,467.03,419.26,200,92,1,False,1
8,92,92,1,463.4393063583815,423.1329479768786,173,93,1,False,1
9,93,93,1,460.0722222222222,428.06111111111113,180,94,1,False,1
10,94,94,1,457.6914893617021,433.1968085106383,188,95,1,False,1
11,95,95,1,456.280487804878,438.5813008130081,246,96,1,False,1
