,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,1848,1848,1848,4,317.7850087158629,248.50784427658337,1721,1854,29,False,5
1,1849,1849,1849,4,309.60388821385175,247.08262454434995,1646,1855,29,False,5
2,1850,1850,1850,4,303.58573853989816,248.383701188455,1767,1856,29,False,5
3,1851,1851,1851,4,297.6455770357352,249.9431751611013,1707,1857,29,False,5
4,1852,1852,1852,4,295.54731308411215,252.97663551401868,1712,1858,29,False,5
5,1853,1853,1853,4,289.4660130718954,254.4307189542484,1530,1859,29,False,5
6,1854,1854,1854,4,285.9049255441008,256.91237113402065,1746,1860,29,False,5
7,1855,1855,1855,4,285.0227531285552,258.06598407281,1758,1861,29,False,5
8,1856,1856,1856,4,284.50169491525423,258.8853107344633,1770,1862,29,False,5
9,1857,1857,1857,4,283.6446558477896,259.53665360940124,1787,1863,29,False,5
10,1858,1858,1858,4,284.35878719820323,259.9713644020213,1781,1864,29,False,5
