,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,564,631,5,441.3301574150787,251.26139188069595,2414,632,2,False,5
1,565,632,5,436.75279040926,261.77511368334024,2419,633,2,False,5
2,566,633,5,434.1267432321575,274.3318293683347,2438,634,2,False,5
3,567,634,5,434.925,286.7758333333333,2400,635,2,False,5
4,568,635,5,438.46043460434606,299.0828208282083,2439,636,2,False,5
5,569,636,4,444.7396523178808,309.6771523178808,2416,637,2,False,5
6,570,637,4,452.85875,318.10375,2400,638,2,False,5
7,571,638,4,462.9667774086379,324.9647009966777,2408,639,2,False,5
8,572,639,4,474.15806988352745,328.9022462562396,2404,640,2,False,5
9,573,640,4,485.86493184634446,330.1676992978108,2421,641,2,False,5
10,574,641,4,498.3693467336684,328.7035175879397,2388,642,2,False,5
11,575,642,4,509.09971157808,324.5290482076638,2427,643,2,False,5
