,index,Unnamed: 0,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed
0,1836,1836,1836,4,280.1406844106464,333.392721347094,1841,1842,29,False,5
1,1837,1837,1837,4,293.42917997870074,341.6932907348243,1878,1843,29,False,5
2,1838,1838,1838,4,308.38619201726,345.3268608414239,1854,1844,29,False,5
3,1839,1839,1839,3,324.74078624078624,344.8138820638821,1628,1845,29,False,5
4,1840,1840,1840,4,338.4519932622122,339.1274564851207,1781,1846,29,False,5
5,1841,1841,1841,4,349.8704634282524,330.035175879397,1791,1847,29,False,5
6,1842,1842,1842,4,358.2900807381776,317.15455594002304,1734,1848,29,False,5
7,1843,1843,1843,4,361.60877192982457,301.8175438596491,1710,1849,29,False,5
8,1844,1844,1844,4,360.2766871165644,285.87055214723927,1630,1850,29,False,5
9,1845,1845,1845,4,354.7202199144777,271.23213194868663,1637,1851,29,False,5
10,1846,1846,1846,4,344.6370023419204,256.88056206089,1281,1852,29,False,5
11,1847,1847,1847,4,332.6386815920398,251.7742537313433,1608,1853,29,False,5
