,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,888,955,4,529.7422845691383,376.7230460921844,2495,958,27,False,5
1,889,956,4,530.7596,374.1552,2500,959,27,False,5
2,890,957,5,534.4894894894895,357.38963963963965,1332,960,24,False,5
3,891,958,5,531.3321414382201,368.1056813667064,2517,961,24,False,5
4,892,959,5,531.3369261477046,364.2471057884232,2505,962,24,False,5
5,893,960,4,530.6580956207313,359.9188429087987,2489,963,24,False,5
6,894,961,5,529.5363817097416,353.99602385685887,2515,964,24,False,5
7,895,962,5,525.3321385902032,346.7236160892075,2511,965,24,False,5
8,896,963,4,518.0265379975874,340.276236429433,2487,966,24,False,5
9,897,964,5,509.6757188498403,335.723642172524,2504,967,24,False,5
10,898,965,4,501.1665999199039,332.69042851421705,2497,968,24,False,5
11,899,966,4,490.5284683239776,332.1343223736969,2494,969,24,False,5
