,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,x_shift,y_shift,x_rotate,y_rotate
0,0,12,12,1,764.4285714285714,85.3265306122449,49,17,1,0.0,0.0,0.0,0.0
1,1,13,13,1,757.7962962962963,93.29629629629628,54,18,1,-6.63227513227514,7.9697656840513815,0.08837680834896666,10.36804841947723
2,2,14,14,1,751.0769230769231,102.36923076923075,65,19,1,-13.35164835164835,17.04270015698586,0.8231382515519936,21.6342918942551
3,3,15,15,1,743.063829787234,111.53191489361704,47,20,1,-21.364741641337446,26.205384281372147,0.6285573797999291,33.8050183605302
4,4,16,16,1,733.8387096774194,121.7741935483871,31,21,1,-30.589861751152057,36.44766293614221,0.20660781610512657,47.58286549454073
5,5,17,17,1,726.8846153846154,131.05769230769232,52,22,1,-37.543956043956086,45.731161695447426,0.8982998976971643,59.161481072903015
6,6,18,18,1,718.8139534883721,140.95348837209303,43,23,1,-45.61461794019931,55.62695775984814,1.133513096966908,71.92890203183478
7,7,19,19,1,710.9019607843137,151.13725490196077,51,24,1,-53.526610644257744,65.81072428971588,1.6759024394141946,84.8135651273576
8,8,20,20,1,702.936170212766,160.5531914893617,47,25,1,-61.492401215805444,75.2266608771168,1.6810709609162586,97.14700157200267
9,9,21,21,1,695.625,170.05357142857142,56,26,1,-68.80357142857144,84.72704081632652,2.240397168357262,109.12187455934767
10,10,22,22,1,689.0689655172414,180.0344827586207,58,27,1,-75.35960591133005,94.7079521463758,3.6865399609341267,120.9755174652608
11,11,23,23,1,681.9516129032259,189.0,62,28,1,-82.4769585253456,103.6734693877551,4.0481607590168025,132.41695260409267
