,Unnamed: 0,index,Unnamed: 0.1,id,x,y,size,frame,track,ignore,track_fixed,x_shift,y_shift,x_rotate,y_rotate
0,0,24,62,1,590.1278195488721,713.3233082706766,266,70,12,False,8,0.0,0.0,0.0,0.0
1,1,25,63,1,597.1610169491526,714.2330508474577,236,71,12,False,8,7.0331974002804145,0.9097425767810137,0.06044793061184606,7.091533210456261
2,2,26,64,1,600.9302325581396,717.422480620155,258,72,12,False,8,10.802413009267411,4.099172349478408,-2.583664492674806,11.261439453409569
3,3,27,65,1,607.9578947368421,720.4473684210526,190,73,12,False,8,17.83007518797001,7.1240601503759535,-4.61925401989142,18.636692478402797
4,4,28,66,1,615.73125,718.61875,160,74,12,False,8,25.603430451127906,5.295441729323329,-1.744961158654489,26.08701716427522
5,5,29,67,1,620.0454545454545,717.7402597402597,154,75,12,False,8,29.917634996582365,4.4169514695830685,-0.2848416792729962,30.240588772230126
6,6,30,68,1,623.9030303030303,716.1090909090909,165,76,12,False,8,33.77521075415814,2.7857826384142754,1.8584528252541976,33.83890659422367
7,7,31,69,1,630.5886075949367,713.0696202531645,158,77,12,False,8,40.46078804606452,-0.2536880175121041,5.783494589328814,40.046109889151424
8,8,32,70,1,642.609375,711.40625,128,78,12,False,8,52.48155545112786,-1.9170582706766481,9.074838373292557,51.726551049548966
9,9,33,71,1,653.2899408284023,710.6213017751479,169,79,12,False,8,63.1621212795302,-2.7020064955287353,11.312764632913069,62.19948359908041
10,10,34,72,1,666.070652173913,710.1902173913044,184,80,12,False,8,75.94283262504086,-3.1330908793722756,13.487302545667408,74.80122161846697
11,11,35,73,1,677.3812154696133,709.8729281767955,181,81,12,False,8,87.25339592074113,-3.4503800938811082,15.348101189541758,85.9621778014578
