,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,72,72,3,530.4872271249419,520.1110078959591,2153,73,1,False,1
1,73,73,4,582.9042702956358,505.6358517128109,2131,74,2,False,1
2,74,74,2,602.9606087735004,565.0273052820054,2234,75,3,False,1
3,75,75,1,542.3632760898282,589.067811536768,2271,76,1,False,1
4,76,76,3,522.4243129948766,534.1844434094085,2147,77,2,False,1
5,77,77,3,573.9277389277389,518.3403263403263,2145,78,3,False,1
6,78,78,2,588.8977838082316,573.8104929895975,2211,79,1,False,1
7,79,79,1,527.2992926613616,593.8726790450928,2262,80,2,False,1
8,80,80,3,504.4846654275093,534.5734200743494,2152,81,3,False,1
9,81,81,4,558.8147113594041,515.4590316573557,2148,82,1,False,1
10,82,82,2,577.6942559927635,571.0872908186341,2211,83,2,False,1
11,83,83,2,522.4320603907638,588.7149200710479,2252,84,3,False,1
