id,x,y,size,frame,track
1,905.43678160919535,378.88505747126436,435,1,1
1,891.9204545454545,376.99747474747477,792,2,1
1,869.9760479041917,377.35808383233535,835,3,1
1,847.7222898903776,378.02557856272836,821,4,1
1,825.3881334981459,379.51297898640297,809,5,1
1,803.793875147232,381.16489988221434,849,6,1
1,781.6947236180905,384.54899497487435,796,7,1
1,760.1418355184744,387.5363528009535,839,8,1
1,738.4283950617285,391.1493827160494,810,9,1
1,716.0971709717097,396.75153751537516,813,10,1
1,693.564039408867,403.80541871921184,812,11,1
1,672.0330073349634,410.2555012224939,818,12,1
1,650.2129742962056,417.20685434516525,817,13,1
1,630.7616136919315,422.2286063569682,818,14,1
1,610.5634146341464,427.5012195121951,820,15,1
1,591.1812725090036,433.2244897959184,833,16,1
1,571.0373944511459,440.52593486127864,829,17,1
1,551.0107142857142,447.627380952381,840,18,1
1,532.239336492891,454.8056872037915,844,19,1
1,512.8595641646489,462.8510895883777,826,20,1
1,492.12132352941177,471.64460784313724,816,21,1
1,473.95443349753697,480.97536945812806,812,22,1
1,456.7721212121212,490.44363636363636,825,23,1
1,439.9108796296296,500.1134259259259,864,24,1
1,425.2541567695962,508.80047505938245,842,25,1
1,407.77911164465786,518.4573829531813,833,26,1
1,389.69350961538464,528.7175480769231,832,27,1
1,373.76876513317194,539.4467312348668,826,28,1
1,358.56391875746715,550.4659498207885,837,29,1
1,342.30023923444975,561.811004784689,836,30,1
1,326.71971496437055,574.0344418052257,842,31,1
1,311.80649038461536,587.0949519230769,832,32,1
1,297.28743961352654,600.2198067632851,828,33,1
1,283.33610451306413,613.8372921615202,842,34,1
1,270.2515114873035,627.7883917775091,827,35,1
1,258.60705596107056,643.6703163017031,822,36,1
1,247.57159904534606,660.4009546539379,838,37,1
1,238.65176470588236,676.6635294117647,850,38,1
1,230.29514321295144,693.7845579078456,803,39,1
1,223.6089588377724,710.4842615012107,826,40,1
1,219.37278911564627,724.7319727891156,735,41,1
1,218.17757009345794,732.2102803738318,214,42,1
