id,x,y,size,frame,track,ignore,track_fixed
4,250.79900332225913,307.72591362126246,602,20,5,TRUE,5
5,603.2299359921221,273.70728705071394,4062,20,4,TRUE,4
1,395.5036075036075,490.6055796055796,2079,21,1,TRUE,1
2,655.5374889738313,437.9779476624522,3401,21,3,FALSE,4
3,508.5282040198833,403.4086881348606,4627,21,2,TRUE,2
4,258.6793760831889,297.3882149046794,577,21,5,TRUE,5
5,614.4643559488692,269.4793510324484,4068,21,4,TRUE,4
1,394.286817962337,488.99468855625304,2071,22,1,TRUE,1
2,657.3576923076923,441.8766272189349,3380,22,3,FALSE,4
3,507.715,402.71608695652174,4600,22,2,TRUE,2
4,271.7410562180579,297.78364565587736,587,22,5,TRUE,5
5,622.2277006937562,262.14866204162536,4036,22,4,TRUE,4
1,393.08846153846156,486.8514423076923,2080,23,1,TRUE,1
2,658.8254437869823,446.7742603550296,3380,23,3,FALSE,4
3,507.123370981755,401.70547350130323,4604,23,2,TRUE,2
4,280.0186125211506,308.6954314720812,591,23,5,TRUE,5
5,627.3293709757305,252.17335314512135,4038,23,4,TRUE,4
1,391.37422729434144,485.8411792677128,2103,24,1,TRUE,1
2,660.0787914691944,450.6184834123223,3376,24,3,FALSE,4
3,507.036532641591,400.21184608733245,4626,24,2,TRUE,2
4,276.59491525423726,321.85084745762714,590,24,5,TRUE,5
5,632.2583601684419,240.97275204359673,4037,24,4,TRUE,4
1,390.21641074856046,484.4961612284069,2084,25,1,TRUE,1
2,661.7231270358307,455.4012437074326,3377,25,3,FALSE,4
3,507.84972617743705,399.52267250821467,4565,25,2,TRUE,2
4,264.44329896907215,326.85051546391753,582,25,5,TRUE,5
5,634.9332008939657,229.27414949093617,4027,25,4,TRUE,4
1,389.51357789423537,483.90471653168174,2099,26,1,TRUE,1
2,663.7715045817322,459.0851315400532,3383,26,3,FALSE,4
3,508.24726716222125,397.9341932662877,4574,26,2,TRUE,2
4,253.11363636363637,320.5472027972028,572,26,5,TRUE,5
5,633.6926696384348,216.62109955423477,4038,26,4,TRUE,4
1,388.5152380952381,482.97238095238095,2100,27,1,TRUE,1
2,665.5403011514614,463.11071744906997,3387,27,3,FALSE,4
3,494.83673469387753,416.45772594752185,2744,27,2,TRUE,2
4,529.7910038398245,365.4986286341196,1823,27,7,TRUE,7
5,251.1097770154374,307.5197255574614,583,27,5,TRUE,5
