id,x,y,size,frame,track,ignore,track_fixed
5,616.2388663967612,246.31022267206478,1976,16,2,FALSE,5
4,482.7962382445141,284.73667711598745,1595,17,1,TRUE,1
5,620.1428571428571,234.6813186813187,2093,17,2,FALSE,5
4,485.39144523655216,283.4860661049903,1543,18,1,TRUE,1
5,621.629763130793,221.697219361483,1942,18,2,FALSE,5
4,488.8466666666667,282.95454545454544,1650,19,1,TRUE,1
5,617.4903669724771,210.90275229357798,2180,19,2,FALSE,5
4,491.12615384615384,282.39015384615385,1625,20,1,TRUE,1
5,611.5719751315161,199.30559540889527,2091,20,2,FALSE,5
4,492.5680781758958,282.09055374592833,1535,21,1,TRUE,1
5,603.0021287919105,189.47897817988292,1879,21,2,FALSE,5
4,494.5573147561748,283.23115896136795,1579,22,1,TRUE,1
5,591.8340807174887,183.8101644245142,2007,22,2,FALSE,5
4,494.68662186927304,283.3182651191203,1637,23,1,TRUE,1
5,579.908695652174,182.64396135265702,2070,23,2,FALSE,5
4,495.7768268597762,281.35813034891373,1519,24,1,TRUE,1
5,566.7982832618026,184.47800429184548,1864,24,2,FALSE,5
4,496.5394013439218,281.27367135003055,1637,25,1,TRUE,1
5,555.9981006647673,191.47008547008548,2106,25,2,FALSE,5
4,498.0297951582868,282.59652389819985,1611,26,1,TRUE,1
5,546.764137264379,200.17109714838085,2069,26,2,FALSE,5
4,499.2452130945028,284.56269302038294,1619,27,1,TRUE,1
5,541.468498342018,210.54476551397443,2111,27,2,FALSE,5
4,500.2778457772338,286.76927784577725,1634,28,1,TRUE,1
5,539.4439716312057,221.12813238770684,2115,28,2,FALSE,5
4,500.4839124839125,288.975546975547,1554,29,1,TRUE,1
5,539.2062072593372,232.20778537611784,1901,29,2,FALSE,5
4,501.9280487804878,294.01280487804877,1640,30,1,TRUE,1
5,543.5537072243346,240.82604562737643,2104,30,2,FALSE,5
4,504.19950586781965,298.970969734404,1619,31,1,TRUE,1
5,548.4307004470938,248.68852459016392,2013,31,2,FALSE,5
4,506.0793269230769,303.8659855769231,1664,32,1,TRUE,1
5,553.2687470889614,253.3530507685142,2147,32,2,FALSE,5
4,508.76104053236537,311.66727162734423,1653,33,1,TRUE,1
5,558.6230440967283,261.6936936936937,2109,33,2,FALSE,5
4,510.0859756097561,316.8390243902439,1640,34,1,TRUE,1
5,566.3622851834649,270.62192289828147,2153,34,2,FALSE,5
4,512.384520123839,319.43900928792567,1615,35,1,TRUE,1
5,576.4186265286924,277.2191909689558,2126,35,2,FALSE,5
4,515.8560975609756,321.20243902439023,1640,36,1,TRUE,1
5,587.8270852858482,280.87628865979383,2134,36,2,FALSE,5
4,518.2827918170879,321.2382671480144,1662,37,1,TRUE,1
5,599.1202898550724,281.8710144927536,2070,37,2,FALSE,5
4,523.0718711276332,321.5718711276332,1614,38,1,TRUE,1
5,610.2617041198502,278.68913857677904,2136,38,2,FALSE,5
4,525.1141025641026,323.1775641025641,1560,39,1,TRUE,1
5,620.4992343032159,274.16743236345076,1959,39,2,FALSE,5
4,527.8952496954932,324.7399512789281,1642,40,1,TRUE,1
5,627.4528214616096,265.0333024976873,2162,40,2,FALSE,5
4,530.3971291866029,325.25897129186603,1672,41,1,TRUE,1
5,632.5903002309469,254.46512702078522,2165,41,2,FALSE,5
