id,x,y,size,frame,track,ignore,track_fixed
1,2.175,89.725,40,4,1,FALSE,3
1,11.295503211991434,103.83083511777302,467,5,1,FALSE,3
1,28.325581395348838,119.39302325581396,430,6,1,FALSE,3
1,48.51470588235294,134.4096638655462,476,7,2,FALSE,3
1,67.20255863539445,148.56503198294243,469,8,3,FALSE,3
1,85.57289002557545,161.59590792838875,391,9,4,FALSE,3
1,107.51851851851852,176.62222222222223,405,10,5,FALSE,3
2,133.3181818181818,194.55371900826447,242,11,6,FALSE,3
3,123.192,186.824,250,11,5,FALSE,3
2,154.31578947368422,206.46616541353384,266,12,7,FALSE,3
3,143.6496062992126,199.78740157480314,254,12,5,FALSE,3
2,164.74501992031873,211.78884462151393,251,13,7,FALSE,3
3,175.49618320610688,218.43893129770993,262,13,8,FALSE,3
2,196.4621513944223,229.3824701195219,251,14,9,FALSE,3
3,185.70325203252034,223.21544715447155,246,14,8,FALSE,3
1,212.34762979683973,237.27088036117382,443,15,9,FALSE,3
1,232.55523255813952,248.0610465116279,344,16,9,FALSE,3
1,256.38277511961724,259.4593301435407,418,17,9,FALSE,3
1,277.15405405405403,268.70540540540543,370,18,10,FALSE,3
1,301.30526315789473,279.2084210526316,475,19,11,FALSE,3
1,322.7578125,287.8463541666667,384,20,12,FALSE,3
1,345.0229591836735,295.8188775510204,392,21,13,FALSE,3
1,367.53268765133174,303.5544794188862,413,22,14,FALSE,3
1,390.5855421686747,310.53493975903615,415,23,15,FALSE,3
2,407.95546558704456,316.12955465587044,247,24,15,FALSE,3
3,419.8936170212766,319.1489361702128,235,24,16,FALSE,3
2,443.0124481327801,324.43153526970957,241,25,17,TRUE,17
3,430.7028112449799,322.7028112449799,249,25,16,FALSE,3
2,467.01465201465203,330.35164835164835,273,26,17,TRUE,17
3,454.2142857142857,327.6503759398496,266,26,16,FALSE,3
2,476.996015936255,333.2549800796813,251,27,17,TRUE,17
3,489.6068376068376,334.8119658119658,234,27,16,FALSE,3
2,512.7102473498234,341.5053003533569,283,28,17,TRUE,17
3,499.93594306049823,337.34519572953735,281,28,16,FALSE,3
2,519.1853281853282,341.5289575289575,259,29,17,TRUE,17
3,531.4452554744526,345.5839416058394,274,29,16,FALSE,3
2,538.9206349206349,346.6547619047619,252,30,17,TRUE,17
3,550.7777777777778,351.3909465020576,243,30,16,FALSE,3
2,570.724,359.46,250,31,17,FALSE,3
3,559.7088607594936,353.63291139240505,237,31,16,TRUE,17
1,583.9694835680751,364.8380281690141,426,32,17,FALSE,3
1,598.2242424242424,369.3151515151515,330,33,17,FALSE,3
1,613.903381642512,385.9903381642512,414,34,17,FALSE,3
1,625.0782828282828,401.7651515151515,396,35,17,FALSE,3
1,635.6633663366337,420.8283828382838,303,36,17,FALSE,3
1,647.4848484848485,441.5925925925926,297,37,17,FALSE,3
1,660.3976261127597,462.04451038575667,337,38,18,FALSE,3
1,673.8607242339833,481.7409470752089,359,39,19,FALSE,3
1,689.1486146095718,501.4785894206549,397,40,20,FALSE,3
1,703.0449172576832,520.5579196217494,423,41,21,FALSE,3
1,717.8826291079812,538.962441314554,426,42,22,FALSE,3
1,732.494923857868,556.8604060913706,394,43,23,FALSE,3
1,746.2883895131087,572.9775280898876,267,44,23,FALSE,3
1,761.689138576779,590.943820224719,267,45,24,FALSE,3
1,776.5737051792829,608.8884462151394,251,46,25,FALSE,3
1,793.0262172284645,627.1198501872659,267,47,26,FALSE,3
2,476.7391304347826,3.3130434782608695,115,47,27,TRUE,27
1,809.4214046822742,644.1103678929766,299,48,28,FALSE,3
2,490.74305555555554,3.5,144,48,27,TRUE,27
1,825.9861591695502,662.1903114186852,289,49,29,FALSE,3
2,503.6296296296296,2.859259259259259,135,49,27,TRUE,27
1,842.2012987012987,679.8474025974026,308,50,30,FALSE,3
2,510.9066666666667,1.9466666666666668,75,50,27,TRUE,27
1,861,698.1278195488721,399,51,31,FALSE,3
1,872.9203980099503,710.9950248756219,201,52,31,FALSE,3
