,index,Unnamed: 0,id,x,y,size,frame,track,ignore,track_fixed
0,72,72,1,390.2224247948952,413.9115770282589,1097,73,1,False,1
1,73,73,1,384.75645756457567,414.6171586715867,1084,74,1,False,1
2,74,74,1,377.1611418047882,415.91528545119706,1086,75,1,False,1
3,75,75,1,369.1349862258953,417.14141414141415,1089,76,1,False,1
4,76,76,1,361.6832871652816,418.4903047091413,1083,77,1,False,1
5,77,77,1,353.8483197093551,419.2098092643052,1101,78,1,False,1
6,78,78,1,346.2259835315645,420.4336688014639,1093,79,1,False,1
7,79,79,1,343.58150183150184,420.543956043956,1092,80,1,False,1
8,80,80,1,335.8110599078341,421.6506912442396,1085,81,1,False,1
9,81,81,1,328.23266423357666,422.2007299270073,1096,82,1,False,1
10,82,82,1,321.97158570119154,422.576535288726,1091,83,1,False,1
11,83,83,1,314.3718181818182,423.2872727272728,1100,84,1,False,1
